序号,片名,年份,类型,摄影指导/视觉总监,核心视觉关键词,主要摄影机/技术工具
172,Game of Thrones,2011,剧集,"Fabian Wagner, Jonathan Freeman, Robert McLachlan, Anette Haellmigk, Gregory Middleton","Epic scale, naturalistic lighting, distinct color palettes for regions, large-scale battles, practical locations","Arri Alexa, Red Epic Dragon, Cooke S4/i, Angenieux Optimo Lenses"
173,Hugo,2011,电影,Robert Richardson,"3D立体感, 致敬早期电影, 暖色调, 魔法感","Arri Alexa, Zeiss Master Prime Lenses"
174,Melancholia,2011,剧集,Manuel Alberto Claro,"Operatic visuals,Slow-motion sequences,Tableau-like compositions,Desaturated colors,Apocalyptic beauty",Phantom HD
175,Puella Magi Madoka Magica,2011,动漫/动画,Shinichirō Miki,"Dark magical girl, Witch labyrinths, Paper cut-out style, Surreal, Faustian bargain",Digital animation
176,Rango,2011,动漫/动画,Gore Verbinski,"Photorealistic CGI, detailed and textured characters, western genre tropes, cinematic lighting and cinematography","Industrial Light & Magic, Blind Wink"
177,Samsara,2011,纪录/实验,Ron Fricke,"non-verbal, global tapestry, 70mm cinematography, time-lapse, spiritual journey","Panavision System 65, digital time-lapse cameras"
178,Shame,2011,电影,Sean Bobbitt,"冷色调, 长镜头, 极简构图, 都市疏离, 负空间",Arri Alexa
179,Source Code,2011,剧集,Don Burgess,"Repetitive structure visuals,Time loop effects,Contained thriller,Sci-fi elements within reality,Fast-paced editing",ARRIFLEX 435
180,The Adventures of Tintin,2011,动漫/动画,Steven Spielberg,"Performance capture, photorealistic CGI, classic comic book aesthetic, dynamic action sequences, detailed environments","Weta Digital, Amblin Entertainment"
181,The Artist,2011,电影,Guillaume Schiffman,"黑白默片, 经典好莱坞风格, 4:3画幅, 表演性布光","Arricam LT, Cooke S4 Lenses"
182,The Bridge,2011,剧集,"Jørgen Johansson, Olof Johnson","Nordic noir,bleak and atmospheric,stylized cinematography,cross-cultural investigation",ARRI Alexa
183,The Raid: Redemption,2011,电影,"Matt Flannery, Dimas Imam Subhono","Fast-paced, kinetic, brutal",Panasonic AF100
184,The Tree of Life,2011,电影,Emmanuel Lubezki,"自然光, 手持摄影, 广角镜头, 流动性","Arricam Lite (LT), Zeiss Master Prime Lenses"
185,The Turin Horse (A torinói ló),2011,纪录/实验,Fred Kelemen,"black and white, long takes, existential dread, minimalist aesthetic, repetitive daily life","ARRIFLEX 535 B, Zeiss Lenses, Angenieux Lenses"
186,Anna Karenina,2012,电影,Seamus McGarvey,"舞台剧风格, 华丽场面调度, 变形镜头光晕, 流动长镜头","Panavision Panaflex Millennium XL, Panavision G-Series Lenses"
187,Django Unchained,2012,电影,Robert Richardson,"意大利西部片风格, 变焦镜头, 血浆美学, 高对比度","Panavision Panaflex Millennium XL, Panavision Primo Lenses"
188,Holy Motors,2012,电影,"Yves Cape, Caroline Champetier","多重身份, 风格杂糅, 边缘人物, 数字与胶片","Red Epic, Angenieux Optimo Lenses"
189,How to Survive a Plague,2012,纪录/实验,David France (Director),"archival activism, historical chronicle, emotional storytelling, AIDS crisis, citizen journalism","Archival news footage, home videos (Hi8, VHS)"
190,Life of Pi,2012,剧集,Claudio Miranda,"3D cinematography,Vibrant colors,CG/live-action integration,Magical realism,Water simulation",ARRI Alexa
191,Looper,2012,剧集,Steve Yedlin,"Near-future aesthetic,Gritty and grounded sci-fi,Telekinesis effects,Time travel visuals,Blend of noir and western",ARRIFLEX 435
192,ParaNorman,2012,动漫/动画,"Chris Butler, Sam Fell","Stop-motion animation, 3D color printing for faces, expressive character animation, detailed sets and environments","Laika, 3D Systems"
193,Prometheus,2012,剧集,Dariusz Wolski,"Large-scale sets,Stereoscopic 3D,Dark and moody lighting,Alien architecture,Holographic interfaces",RED Epic
194,Searching for Sugar Man,2012,动漫/动画,Malik Bendjelloul (Director),"Super 8mm aesthetic, investigative narrative, archival footage, animation, iPhone filming","Super 8mm camera, iPhone 4S with 8mm Vintage Camera app"
195,Skyfall,2012,电影,Roger Deakins,"Silhouette, vibrant, reflective","Arri Alexa Studio, Arri Alexa Plus"
196,The Act of Killing,2012,纪录/实验,"Carlos Arango de Montis, Lars Skree","surreal reenactments, hyper-stylized genre pastiche, documentary of the imagination, perpetrator's perspective, ethical ambiguity",Digital cameras (specifics not widely disclosed)
197,Wolf Children,2012,动漫/动画,Mamoru Hosoda,"Nature, Family, Transformation, Hand-drawn characters, Photorealistic backgrounds",Digital animation
198,12 Years a Slave,2013,动漫/动画,Sean Bobbitt,"静态长镜头,自然光,油画质感","Arricam LT/ST, Cooke S4, Angenieux Optimo"
199,Attack on Titan,2013,动漫/动画,Kyoji Asano,"Gritty, Post-apocalyptic, Giant humanoid creatures, 3D maneuver gear, Despair","2D animation, CGI for titans and backgrounds"
200,Cutie and the Boxer,2013,纪录/实验,Zachary Heinzerling (Director),"intimate portrait, artistic struggle, love and resentment, archival footage, verité-style","Canon XF305, Canon 5D Mark II"
201,Frozen,2013,动漫/动画,"Chris Buck, Jennifer Lee","Advanced snow and ice simulation, detailed character animation, Broadway-style musical numbers, vibrant color palette",Disney's Hyperion
202,Generation War,2013,剧集,David Slama,"Handheld camera, desaturated color palette, realistic battle sequences, subjective perspective, gritty realism","Arri Alexa, Cooke S4 Lenses"
203,Gravity,2013,剧集,Emmanuel Lubezki,"Long takes,Virtual cinematography,LED lighting box,Zero-gravity simulation,First-person POV",ARRI Alexa
204,Hannibal,2013,剧集,"James Hawkinson, Karim Hussain","Macabre beauty, food styling, slow-motion, surreal imagery, dark and elegant aesthetic","Arri Alexa, Cooke S4 Lenses"
205,Her,2013,剧集,Hoyte van Hoytema,"Soft focus,Warm color palette,Shallow depth of field,Pastel colors,Near-future aesthetic",ARRI Alexa XT
206,Ida,2013,动漫/动画,"Łukasz Żal, Ryszard Lenczewski","黑白摄影,4:3画幅,极简构图","Arri Alexa Plus 4:3, Zeiss Ultra Prime Lenses"
207,Jodorowsky's Dune,2013,动漫/动画,Frank Pavich (Director),"concept art, interviews, animated storyboards, cult film history, talking heads",Digital cameras
208,Kill la Kill,2013,动漫/动画,Hiroyuki Imaishi,"Exaggerated animation, High energy, Action-comedy, Minimalist backgrounds, Explosive",Digital animation
209,Pacific Rim,2013,剧集,Guillermo Navarro,"Kaiju scale,Neon-drenched nights,Rain and water effects,Mecha design,Practical and digital VFX blend",RED Epic
210,Peaky Blinders,2013,剧集,"George Steel, Cathal Watters, Laurie Rose, Si Bell, Mathieu Plainfossé","High-contrast lighting, deep shadows, muted color palette, cinematic flair, slow-motion","Arri Alexa, RED Monstro, Panavision Primo, Cooke Anamorphic/i"
211,Rick and Morty,2013,动漫/动画,Various,"Retro sci-fi aesthetic, vibrant and chaotic visuals, surreal character designs, limited animation style",Toon Boom Harmony
212,Snowpiercer,2013,剧集,Hong Kyung-pyo,"Claustrophobic interiors,Linear progression,Contrasting train cars,Gritty textures,Cold color palette",Arricam LT
213,The Garden of Words,2013,动漫/动画,Makoto Shinkai,"Photorealistic rain, Hyper-detailed, Reflective surfaces, Lush greenery, Light and shadow","Digital animation, CGI"
214,The Grandmaster,2013,动漫/动画,Philippe Le Sourd,"王家卫式美学,光影雕刻,雨中打斗","Arricam LT/ST, Cooke Panchro, Angenieux HR"
215,The Great Beauty,2013,动漫/动画,Luca Bigazzi,"罗马浮世绘,华丽运动镜头,超现实","Arricam LT, Zeiss Master Prime Lenses"
216,The Tale of The Princess Kaguya,2013,动漫/动画,Isao Takahata,"水墨画风,极简线条,留白艺术","Studio Ghibli, Hand-drawn animation"
217,The Wind Rises,2013,动漫/动画,Atsushi Okui,"Ghibli aesthetic, Historical, Aviation, Hand-drawn, Realistic","Traditional animation, Digital ink and paint"
218,Under the Skin,2013,剧集,Daniel Landin,"Hidden cameras,Naturalistic lighting,Abstract visuals,Alien perspective,Minimalist sci-fi",ARRI Alexa
219,Upstream Color,2013,电影,Shane Carruth,"微距摄影, 有机纹理, 碎片叙事, 自然光, 感官体验",Panasonic GH2 (Micro Four Thirds)
220,Utopia (UK),2013,剧集,"Lol Crawley, Ole Bratt Birkeland","Hyper-saturated colors, graphic novel aesthetic, symmetrical framing, wide-angle lenses, unsettling atmosphere","Arri Alexa, Cooke S4/i Lenses"
221,"20,000 Days on Earth",2014,纪录/实验,Erik Wilson,"staged documentary, creative process, fictionalized day-in-the-life, musical performance, psychological portrait",Arri Alexa
222,Big Hero 6,2014,动漫/动画,"Don Hall, Chris Williams","Hybrid of American and Japanese animation styles, futuristic city design, advanced rendering techniques, action-packed sequences",Disney's Hyperion
223,Birdman,2014,动漫/动画,Emmanuel Lubezki,"一镜到底,魔幻现实,广角镜头","Arri Alexa M, Leica Summilux-C, Zeiss Master Primes"
224,Edge of Tomorrow,2014,剧集,Dion Beebe,"Kinetic action,Exosuit combat,Time loop repetition,Gritty war aesthetic,Practical and digital VFX blend",ARRIFLEX 435
225,Ex Machina,2014,电影,Rob Hardy,"极简建筑, 冷色科技感, 自然光与人工光对比, 对称构图, 玻璃反射",Red Epic Dragon
226,Godzilla,2014,剧集,Seamus McGarvey,"Sense of scale,Obscured monster reveals,Atmospheric lighting,Disaster movie aesthetic,Handheld camera work",ARRI Alexa Plus
227,Gomorrah,2014,剧集,"Paolo Carnera, Ivan Casalgrandi","Gritty realism,handheld camera work,naturalistic lighting,documentary style","Arri Alexa Plus, Canon 7D"
228,Guardians of the Galaxy,2014,动漫/动画,Ben Davis,"Colorful cosmic worlds,70s/80s aesthetic,Space opera visuals,Charismatic character animation (Groot, Rocket),Action-comedy tone",ARRI Alexa XT
229,Interstellar,2014,剧集,Hoyte van Hoytema,"Anamorphic lenses,Practical effects,IMAX photography,Natural light,Cosmic scale","IMAX MSM 9802, Panavision 65"
230,Jauja,2014,动漫/动画,Timo Salminen,"4:3圆角画幅,复古胶片质感,荒野诗","Arricam LT, Cooke S4 Lenses"
231,John Wick,2014,电影,Jonathan Sela,"Gun-fu, neon-lit, long takes",Arri Alexa XT
232,Leviathan,2014,动漫/动画,Mikhail Krichman,"广袤空间,冷峻色调,社会寓言","Arri Alexa Plus, Zeiss Master Prime Lenses"
233,Song of the Sea,2014,动漫/动画,Tomm Moore,"Hand-drawn animation, watercolor-inspired backgrounds, based on Irish mythology, Celtic art style, intricate patterns","Cartoon Saloon, Mélusine Productions"
234,Space Dandy,2014,动漫/动画,Shinichiro Watanabe,"Episodic, Genre-hopping, Psychedelic, Retro sci-fi, Comedic",Digital animation
235,The Grand Budapest Hotel,2014,剧集,Robert Yeoman,"Symmetrical compositions,Miniature models,Vibrant color palettes,Changing aspect ratios,Whimsical aesthetic",Arricam ST
236,The Lego Movie,2014,动漫/动画,"Phil Lord, Christopher Miller","Photorealistic stop-motion aesthetic, CGI-simulated Lego bricks, creative world-building, fast-paced editing","Animal Logic, Lego Digital Designer"
237,Timbuktu,2014,动漫/动画,Sofian El Fani,"沙漠诗意,色彩构图,人文关怀","Arri Alexa, Cooke S4 Lenses"
238,True Detective,2014,剧集,"Adam Arkapaw (S1), Nigel Bluck (S2), Germain McMicking (S3)","Long tracking shots, bleak landscapes, naturalistic lighting, color symbolism, double exposure","Panavision Panaflex Millennium XL2, Panavision PVintage Lenses (shot on 35mm film for S1)"
239,Virunga,2014,纪录/实验,Orlando von Einsiedel (Director),"investigative documentary, conservation, undercover footage, political thriller, stunning nature cinematography","Canon C300, Sony PMW-EX1"
240,Whiplash,2014,电影,Sharone Meir,"快速剪辑, 汗水特写, 暖色调, 爵士节奏剪辑, 紧张构图",Arri Alexa XT
241,Amy,2015,纪录/实验,Asif Kapadia (Director),"archival footage, personal videos, voice-over narrative, lyrical editing, non-talking heads","Various archival formats (MiniDV, Hi8, digital video)"
242,Anomalisa,2015,动漫/动画,"Charlie Kaufman, Duke Johnson","Stop-motion animation, 3D-printed puppets, realistic character designs, mundane and melancholic atmosphere, subtle and nuanced animation","Starburns Industries, Snoot Films"
243,Better Call Saul,2015,剧集,"Arthur Albert, Marshall Adams","Deliberate framing, wide-angle lenses, low-angle shots, color symbolism, visual storytelling","RED Dragon, Arri Alexa LF, Panasonic VariCam, Panavision Panaspeed, Cooke S4 Lenses"
244,Carol,2015,电影,Edward Lachman,"Super 16mm质感, 柔焦, 1950年代色调, 窗户框架, 偷窥视角","Arri Alexa XT (Super 16mm mode), Cooke Speed Panchro"
245,Cartel Land,2015,纪录/实验,"Matthew Heineman, Matt Porwoll","immersive journalism, frontline access, visceral combat footage, moral ambiguity, character-driven","Canon C300, Canon 5D Mark III"
246,Deutschland 83,2015,剧集,"Philipp Haberlandt, Frank Lamm","80s aesthetic, split screens, archival footage, fast-paced editing, vibrant color palette","Arri Alexa, Cooke S4 Lenses"
247,Embrace of the Serpent,2015,动漫/动画,David Gallego,"黑白影像,亚马逊奇观,民族志","Arri Alexa, Cooke S4 Lenses"
248,Fauda,2015,剧集,Moshe Mishali,"Action thriller,realism,handheld camera work,fast-paced editing",Panasonic VariCam
249,Human,2015,纪录/实验,Yann Arthus-Bertrand (Director),"personal testimonies, aerial photography, emotional portraits, direct-to-camera interviews, global scale","High-speed cameras, drones, 4K digital cameras"
250,Kaili Blues,2015,动漫/动画,Wang Tianxing,"40分钟长镜头,诗意现实,潮湿南方","Canon 5D Mark III, Zeiss Compact Prime Lenses"
251,Mad Max: Fury Road,2015,剧集,John Seale,"Saturated colors,Fast-paced editing,Practical stunts,Center framing,Post-apocalyptic aesthetic",ARRI Alexa Plus
252,Master of None,2015,剧集,"Mark Schwartzbard, Thimios Bakatakis","Cinematic homages, naturalistic lighting, long takes, 4:3 aspect ratio (S3), film grain (S3)","Panasonic VariCam 35, Arricam LT (S3), Angenieux Optimo Lenses, Cooke 20-100mm (shot on 16mm film for S3)"
253,Narcos,2015,剧集,"Lula Carvalho, Carmen Cabana","Documentary style, archival footage, handheld camera, saturated colors, period authenticity","RED Epic Dragon, Panasonic Lumix GH4, Cooke S4/i, Zeiss Ultra Prime Lenses"
254,Shaun the Sheep Movie,2015,动漫/动画,"Mark Burton, Richard Starzak","Stop-motion animation, claymation, silent comedy, expressive character animation, charming and witty storytelling","Aardman Animations, StudioCanal"
255,Sicario,2015,电影,Roger Deakins,"热成像, 黄昏摄影, 沙漠光影, 紧张氛围, 剪影构图","Arri Alexa XT, Panavision C-Series Anamorphic"
256,Skam,2015,剧集,Daniel McStay,"Teen drama,naturalistic lighting,handheld camera work,real-time storytelling",Canon EOS 5D Mark III
257,Son of Saul,2015,动漫/动画,Mátyás Erdély,"4:3画幅,长镜头跟随,浅焦摄影","Arricam 2C, Cooke S4 Lenses"
258,The Assassin,2015,动漫/动画,Mark Lee Ping Bin,"东方古典美学,胶片拍摄,自然光","Arricam LT/ST, Cooke S4, Angenieux Optimo"
259,The Lobster,2015,剧集,Thimios Bakatakis,"Deadpan cinematography,Natural lighting,Static compositions,Awkward framing,Dystopian realism",RED Epic
260,The Martian,2015,剧集,Dariusz Wolski,"Realistic Mars landscapes,GoPro footage,Helmet POV shots,Hard sci-fi aesthetic,Vast and lonely vistas",RED Epic Dragon
261,The Revenant,2015,动漫/动画,Emmanuel Lubezki,"自然光,超广角,沉浸式长镜头","Arri Alexa 65/XT M, Leica Summilux-C, Zeiss Master Primes"
262,Versailles,2015,剧集,Pierre-Yves Bastard,"Historical drama,lavish costumes and sets,naturalistic lighting,period-perfect details",ARRI Alexa
263,Victoria,2015,动漫/动画,Sturla Brandth Grøvlen,"全片一镜到底,柏林夜景,即兴表演","Canon EOS C300, Zeiss Compact Prime Lenses"
264,13th,2016,纪录/实验,Ava DuVernay (Director),"archival analysis, motion graphics, expert interviews, historical narrative, racial injustice","Arri Amira, Canon C300 Mark II"
265,A Silent Voice,2016,动漫/动画,Kazuya Takao,"Emotional, Delicate, Sign language, Water motifs, Lens flare",Digital animation
266,All These Sleepless Nights,2016,纪录/实验,"Michal Marczak, Maciej Twardowski","docu-fiction hybrid, fluid cinematography, youthful hedonism, Warsaw nightlife, immersive sound design","Custom gyroscopic camera rig, various digital cameras"
267,Arrival,2016,剧集,Bradford Young,"Muted color palette,Soft lighting,Minimalism,Atmospheric,Non-linear narrative visuals",ARRI Alexa XT
268,Atlanta,2016,剧集,"Christian Sprenger, Stephen Murphy","Surrealism, naturalistic lighting, long takes, hip-hop aesthetic, filmic texture","Arri Amira, Arri Alexa Mini, Kowa Prominar Spherical Primes, Cooke Panchro/i Classic Lenses"
269,Cameraperson,2016,纪录/实验,Kirsten Johnson,"cinematic memoir, ethical inquiry, fragmented narrative, global scope, power of the camera","Canon EOS C300, various other digital cameras"
270,Doctor Strange,2016,剧集,Ben Davis,"Kaleidoscopic visuals,Fractal realities,Mind-bending architecture,Mystical effects,Surreal action sequences",ARRI Alexa 65
271,El Marginal,2016,剧集,"Sergio Dotta, Miguel Abal","Prison drama,gritty realism,handheld camera work,documentary style","Red Epic, ARRI Alexa"
272,Fleabag,2016,剧集,Tony Miller,"Breaking the fourth wall, handheld camera, naturalistic lighting, intimate close-ups, anamorphic lenses","Arri Alexa Mini, Cooke Anamorphic/i Lenses"
273,Guardian: The Lonely and Great God,2016,剧集,"Kim Shin, Park Sung-yong","Dreamlike visuals,color and tone,epic scale,slow motion",Panasonic VariCam
274,In This Corner of the World,2016,动漫/动画,Sunao Katabuchi,"Hand-drawn, Historical, Hiroshima, Slice of life, Understated",Digital animation
275,Kedi,2016,纪录/实验,"Alp Korfali, Charlie Wuppermann","cat's-eye view, urban exploration, human-animal connection, observational documentary, low-angle cinematography","Canon 5D Mark III, custom camera rigs, drones"
276,March Comes in Like a Lion,2016,动漫/动画,Akiyuki Shinbo,"Watercolor style, Emotional, Shogi, Depression, Expressive",Digital animation
277,Moana,2016,动漫/动画,"Ron Clements, John Musker","Photorealistic water simulation, detailed character animation, Polynesian-inspired art direction, vibrant and lush environments",Disney's Hyperion
278,Mob Psycho 100,2016,动漫/动画,Yoshimichi Kameda,"Psychedelic, Expressive, Unpredictable, Minimalist, Explosive","Digital animation, Paint-on-glass animation"
279,Moon Lovers: Scarlet Heart Ryeo,2016,剧集,"Kim Kyu-tae, Kim Cheon-suk","Historical romance,picturesque landscapes,softened colors,dramatic close-ups",ARRI Alexa
280,Moonlight,2016,动漫/动画,James Laxton,"三段式色彩,手持摄影,皮肤质感","Arri Alexa XT, Kowa Cine Prominar Lenses"
281,Neon Demon,2016,电影,Natasha Braier,"霓虹美学, 时尚恐怖, 对称构图, 饱和色彩, 洛杉矶夜色","Arri Alexa XT, Panavision C-Series Anamorphic"
282,O.J.: Made in America,2016,纪录/实验,Ezra Edelman (Director),"epic scope, archival deep-dive, racial history, talking heads, journalistic rigor","Arri Amira, Canon C300"
283,Stranger Things,2016,剧集,"Tim Ives, Caleb Heymann","80s nostalgia, practical effects, strong color grading, lens flares, synthwave aesthetic","RED Epic Dragon, RED Helium, RED Monstro, Arri Alexa LF, Leitz Summilux-C Lenses"
284,The Crown,2016,剧集,"Adriano Goldman, Ole Birkeland","Opulent production design, painterly compositions, evolving color palette, precise camera movement, period accuracy","Sony CineAlta F55, Sony VENICE, Cooke Panchro/i Classic, Zeiss Super Speed Lenses"
285,The Handmaiden,2016,动漫/动画,Chung Chung-hoon,"精致对称构图,情欲色彩,反转叙事","Arri Alexa SXT, Cooke Anamorphic/i Lenses"
286,Toni Erdmann,2016,电影,Patrick Orth,"自然主义, 长镜头, 手持摄影, 即兴感, 欧洲现实主义",Arri Alexa Mini
287,W - Two Worlds,2016,剧集,"Jung Ji-hyun, Park Seung-woo","Webtoon integration,parallel universes,high-contrast lighting,stylized visuals","ARRI Alexa, Red Epic Dragon"
288,Westworld,2016,剧集,"Paul Cameron, John Grillo, Darran Tiernan","Juxtaposition of natural and futuristic, anamorphic lenses, film grain, lens flares, precise framing","Arricam LT/ST, Panavision Primo, Cooke S4, Zeiss Master Prime Lenses (shot on 35mm film)"
289,Your Name,2016,动漫/动画,Makoto Shinkai,"新海诚滤镜,光影细节,彗星奇观","CoMix Wave Films, Digital Animation"
290,Zootopia,2016,动漫/动画,"Byron Howard, Rich Moore","Complex fur and hair simulation, large-scale environments, diverse character designs, realistic lighting and weather effects",Disney's Hyperion
291,A Fantastic Woman,2017,电影,Benjamín Echazarreta,"镜面反射, 色彩象征, 风的视觉隐喻, 身份流动, 拉美新浪潮",Arri Alexa Mini
292,A Ghost Story,2017,动漫/动画,Andrew Droz Palermo,"1.33:1画幅,固定长镜头,时间流逝","Arri Alexa XT, Panavision C-Series Lenses"
293,American Gods,2017,剧集,"Jo Willems, Darran Tiernan, Marc Laliberté","Hyper-stylized visuals, saturated colors, slow-motion, surreal imagery, mythological aesthetic","Arri Alexa XT, Arri Alexa Mini, Blackmagic URSA Mini, Cooke Anamorphic/i Lenses"
294,Babylon Berlin,2017,剧集,"Henk Handloegten, Tom Tykwer, Achim von Borries","Expressionist lighting, decadent 1920s aesthetic, elaborate set pieces, dynamic camera movement, noir elements","Arri Alexa XT, Arri Alexa Mini, Panavision PVintage Lenses"
295,Blade Runner 2049,2017,剧集,Roger Deakins,"Neo-noir,Brutalist architecture,Atmospheric haze,Selective color,Volumetric lighting",ARRI Alexa XT Studio
296,Blade of the Immortal,2017,电影,Nobuyasu Kita,"三池崇史暴力美学, 武士动作, 血腥诗意, 手持摄影, 日本剑戟片",Red Epic Dragon
297,Coco,2017,动漫/动画,"Danielle Feinberg, Michael K. O'Brien","Bioluminescent-inspired lighting, complex particle effects, vibrant color palette, detailed textures",Pixar RenderMan
298,Dark,2017,剧集,Nikolaus Summerer,"Symmetrical framing, moody and atmospheric lighting, desaturated color palette, slow camera movements, split-screen","Arri Alexa 65, Arri Alexa Mini, Zeiss Master Primes, imes"
299,Dunkirk,2017,电影,Hoyte van Hoytema,"IMAX胶片, 沉浸式战争, 三线叙事, 实拍优先, 极致临场感","IMAX MSM 9802, Panavision Panaflex Millennium XL2"
300,El Chapo,2017,剧集,"Iván Hernández, Juan Pablo Ramírez","Biographical drama,documentary style,gritty realism,handheld camera work","Red Epic, Arri"
301,Faces Places (Visages Villages),2017,纪录/实验,"Agnès Varda, JR (Directors)","collaborative art, road movie, intergenerational friendship, large-format photography, playful tone",Digital cameras
302,Fi,2017,剧集,"Tayfun Çetindag, Alper Derli","Psychological thriller,dark and stylish,modern aesthetic,bold colors",ARRI Alexa
303,First Reformed,2017,电影,Alexander Dynan,"1.37:1画幅, 静态构图, 极简主义, 精神危机, 布列松式",Arri Alexa Mini
304,Icarus,2017,纪录/实验,Bryan Fogel (Director),"investigative thriller, real-time revelations, hidden cameras, international conspiracy, talking heads","Canon C300, GoPro"
305,Legion,2017,剧集,"Dana Gonzales, Craig Wrobleski","Surreal and psychedelic visuals, non-linear narrative, bold color palette, inventive camera work, 60s/70s aesthetic","Arri Alexa Mini, Cooke Speed Panchro Lenses"
306,Loveless,2017,动漫/动画,Mikhail Krichman,"冰冷色调,末日景观,长镜头","Arri Alexa XT, Zeiss Master Prime Lenses"
307,Loving Vincent,2017,动漫/动画,"Dorota Kobiela, Hugh Welchman","First fully painted animated feature film, oil-painted animation, impasto technique, emulation of Van Gogh's style, expressive brushstrokes","BreakThru Films, Trademark Films"
308,Made in Abyss,2017,动漫/动画,Hiroyuki Yamashita,"World-building, Fantasy, Cute but brutal, Layered abyss, Detailed backgrounds",Digital animation
309,Mindhunter,2017,剧集,"Erik Messerschmidt, Christopher Probst","Muted color palette, precise camera movements, symmetrical framing, psychological tension, dark and moody lighting","RED Xenomorph (custom), Leitz Summilux-C Lenses"
310,Money Heist,2017,剧集,Migue Amoedo,"Heist genre conventions,high-octane action,stylized color grading,dynamic camera work","Red Helium, Arri Alexa Mini"
311,Phantom Thread,2017,电影,Paul Thomas Anderson,"35mm胶片, 柔和自然光, 纺织质感, 古典构图, 亲密特写","Panavision Panaflex Millennium XL2, Panavision C-Series"
312,Star Wars: The Last Jedi,2017,剧集,Steve Yedlin,"Bold color choices (red, white),Dynamic space battles,Praetorian guard fight,Crait salt flats,Iconic compositions",Panavision Millennium DXL
313,Tabula Rasa,2017,剧集,"Dries Delputte, Brecht Goyvaerts","Psychological thriller,amnesia narrative,dark and atmospheric,unreliable narrator",ARRI Alexa Mini
314,The Breadwinner,2017,动漫/动画,Nora Twomey,"2D animation, cut-out animation for story-within-a-story, inspired by Afghan art, vibrant colors, emotional storytelling","Cartoon Saloon, Aircraft Pictures"
315,The Deuce,2017,剧集,"Vanja Černjul, Yaron Orbach","Gritty 70s aesthetic, naturalistic lighting, long takes, handheld camera, period detail","Panasonic VariCam 35, Cooke S4 Lenses"
316,The End of the F***ing World,2017,剧集,"Justin Brown, Benedict Spence","Deadpan aesthetic, symmetrical framing, road movie influences, desaturated color palette, static shots","Arri Alexa LF, RED Helium, Zeiss Supreme Primes, Cooke S4/i Lenses"
317,The Florida Project,2017,动漫/动画,Alexis Zabe,"糖果色调,儿童视角,35mm胶片","Panavision Millennium XL2, Panavision E-Series Lenses"
318,The Handmaid's Tale,2017,剧集,"Reed Morano, Colin Watkinson, Nicola Daley","Symmetrical framing, shallow depth of field, color symbolism (red, blue), high-contrast lighting, painterly compositions","Arri Alexa Mini, Canon K35 Lenses, Zeiss Super Speed Lenses"
319,The Marvelous Mrs. Maisel,2017,剧集,M. David Mullen,"Vibrant color palette, long takes, choreographed camera movement, period detail, theatrical lighting","Arri Alexa, Panavision Primo Lenses, DJI Ronin 4D"
320,"The Night Is Short, Walk on Girl",2017,动漫/动画,Masaaki Yuasa,"Surreal, Energetic, Interconnected stories, Long night, Unique character designs",Digital animation
321,The Shape of Water,2017,剧集,Dan Laustsen,"Teal and gold palette,Fluid camera movement,Gothic romance,Shadows and light,Underwater feel",ARRI Alexa XT
322,Thor: Ragnarok,2017,剧集,Javier Aguirresarobe,"Jack Kirby-inspired visuals,80s retro-futurism,Vibrant and psychedelic colors,Comedic tone,Sakaar junk planet aesthetic",ARRI Alexa 65
323,War for the Planet of the Apes,2017,剧集,Michael Seresin,"Photorealistic apes,Performance capture,Bleak and snowy landscapes,Dark and somber tone,Epic battle sequences",ARRI Alexa 65
324,Zama,2017,动漫/动画,Rui Poças,"殖民地挽歌,停滞感,自然光","Arri Alexa Mini, Cooke S4 Lenses"
325,1983,2018,剧集,"Tomasz Naumiuk, Arkadiusz Tomiak","Alternate history,dystopian,political thriller,noir aesthetic","Red Epic,Red Epic-"
326,An Elephant Sitting Still,2018,动漫/动画,Fan Chao,"234分钟长镜头,灰暗色调,手持跟拍",Canon 600D
327,Annihilation,2018,剧集,Rob Hardy,"The Shimmer effect,Organic textures,Psychedelic visuals,Body horror,Lush and threatening nature",RED Weapon Dragon
328,Black Panther,2018,剧集,Rachel Morrison,"Afrofuturism,Vibrant costume and production design,Wakanda's advanced technology,Ritual combat scenes,Kinetic action",ARRI Alexa XT
329,Burning,2018,动漫/动画,Hong Kyung-pyo,"暧昧光影,长镜头,魔幻时刻","Arri Alexa 65, Cooke S7/i Lenses"
330,Cold War,2018,动漫/动画,Łukasz Żal,"黑白摄影,学院画幅,古典构图","Arri Alexa XT, Cooke S4, Angenieux Optimo"
331,Early Man,2018,动漫/动画,Nick Park,"Stop-motion animation, claymation, prehistoric setting, charming and goofy characters, classic Aardman humor","Aardman Animations, StudioCanal"
332,Elite,2018,剧集,"Daniel Sosa, Ricardo de Gracia","Teen drama,high-contrast lighting,fast-paced editing,glamorous aesthetic","Red Epic, Arri Alexa"
333,Free Solo,2018,纪录/实验,"Jimmy Chin, Clair Popkin, Mikey Schaefer","vertigo-inducing cinematography, intimate character study, high-stakes suspense, long-lens photography, remote cameras","Canon C300 Mark II, RED Weapon, DJI Inspire 2"
334,Hereditary,2018,电影,Pawel Pogorzelski,"Dollhouse aesthetic, slow zooms, dark",Arri Alexa Mini
